elemnode_1,elemnode_2,elemnode_3,elemnode_4
1,10,11,2
2,11,12,3
3,12,13,4
4,13,14,5
5,14,15,6
6,15,16,7
7,16,17,8
8,17,18,9
10,19,20,11
11,20,21,12
12,21,22,13
13,22,23,14
14,23,24,15
15,24,25,16
16,25,26,17
17,26,27,18
19,28,29,20
20,29,30,21
21,30,31,22
22,31,32,23
23,32,33,24
24,33,34,25
25,34,35,26
26,35,36,27
28,37,38,29
29,38,39,30
30,39,40,31
31,40,41,32
32,41,42,33
33,42,43,34
34,43,44,35
35,44,45,36
40,47,46,41
41,46,48,42
39,49,47,40
42,48,50,43
38,51,49,39
43,50,52,44
37,53,51,38
44,52,54,45
37,62,71,53
54,72,63,45
47,56,55,46
46,55,57,48
49,58,56,47
48,57,59,50
51,60,58,49
50,59,61,52
53,65,60,51
52,61,66,54
56,67,64,55
55,64,68,57
53,71,82,65
66,83,72,54
58,69,67,56
57,68,70,59
60,73,69,58
59,70,74,61
62,84,92,71
72,93,85,63
65,78,73,60
61,74,79,66
67,76,75,64
64,75,77,68
69,80,76,67
68,77,81,70
65,82,88,78
79,89,83,66
73,86,80,69
70,81,87,74
71,92,94,82
83,95,93,72
78,90,86,73
74,87,91,79
82,94,98,88
89,99,95,83
78,88,96,90
91,97,89,79
84,100,104,92
93,105,101,85
92,104,106,94
95,107,105,93
88,98,102,96
97,103,99,89
94,106,108,98
99,109,107,95
98,108,110,102
103,111,109,99
100,112,113,104
105,120,121,101
104,113,114,106
107,119,120,105
106,114,115,108
109,118,119,107
108,115,116,110
111,117,118,109
115,124,122,116
117,123,125,118
114,126,124,115
118,125,127,119
113,128,126,114
119,127,129,120
112,132,128,113
120,129,133,121
124,134,130,122
123,131,135,125
126,138,134,124
125,135,139,127
134,144,136,130
131,137,145,135
128,140,138,126
127,139,141,129
132,148,140,128
129,141,149,133
144,154,142,136
137,143,155,145
138,150,144,134
135,145,151,139
154,159,146,142
143,147,160,155
140,161,150,138
139,151,162,141
146,159,163,152
153,164,160,147
150,167,154,144
145,155,168,151
152,163,165,156
157,166,164,153
156,165,169,158
158,169,166,157
167,172,159,154
155,160,173,168
148,170,161,140
141,162,171,149
159,172,174,163
164,175,173,160
163,174,176,165
166,177,175,164
161,179,167,150
151,168,180,162
165,176,178,169
169,178,177,166
167,179,181,172
173,182,180,168
172,181,183,174
175,184,182,173
174,183,185,176
177,186,184,175
176,185,187,178
178,187,186,177
170,188,179,161
162,180,196,171
179,188,189,181
182,195,196,180
181,189,190,183
184,194,195,182
183,190,191,185
186,193,194,184
185,191,192,187
187,192,193,186
188,197,198,189
189,198,199,190
190,199,200,191
191,200,201,192
192,201,202,193
193,202,203,194
194,203,204,195
195,204,205,196
197,206,207,198
198,207,208,199
199,208,209,200
200,209,210,201
201,210,211,202
202,211,212,203
203,212,213,204
204,213,214,205
206,215,216,207
207,216,217,208
208,217,218,209
209,218,219,210
210,219,220,211
211,220,221,212
212,221,222,213
213,222,223,214
215,224,225,216
216,225,226,217
217,226,227,218
218,227,228,219
219,228,229,220
220,229,230,221
221,230,231,222
222,231,232,223
