#elemnode_1,elemnode_2,elemnode_3,elemnode_4
1,8,9,2
8,15,16,9
15,22,23,16
22,29,30,23
29,36,37,30
36,43,44,37
43,50,51,44
50,57,58,51
57,64,65,58
64,71,72,65
71,78,79,72
78,85,86,79
85,92,93,86
92,99,100,93
99,106,107,100
106,113,114,107
113,120,121,114
120,127,128,121
127,134,135,128
134,141,142,135
2,9,10,3
9,16,17,10
16,23,24,17
23,30,31,24
30,37,38,31
37,44,45,38
44,51,52,45
51,58,59,52
58,65,66,59
65,72,73,66
72,79,80,73
79,86,87,80
86,93,94,87
93,100,101,94
100,107,108,101
107,114,115,108
114,121,122,115
121,128,129,122
128,135,136,129
135,142,143,136
3,10,11,4
10,17,18,11
17,24,25,18
24,31,32,25
31,38,39,32
38,45,46,39
45,52,53,46
52,59,60,53
59,66,67,60
66,73,74,67
73,80,81,74
80,87,88,81
87,94,95,88
94,101,102,95
101,108,109,102
108,115,116,109
115,122,123,116
122,129,130,123
129,136,137,130
136,143,144,137
4,11,12,5
11,18,19,12
18,25,26,19
25,32,33,26
32,39,40,33
39,46,47,40
46,53,54,47
53,60,61,54
60,67,68,61
67,74,75,68
74,81,82,75
81,88,89,82
88,95,96,89
95,102,103,96
102,109,110,103
109,116,117,110
116,123,124,117
123,130,131,124
130,137,138,131
137,144,145,138
5,12,13,6
12,19,20,13
19,26,27,20
26,33,34,27
33,40,41,34
40,47,48,41
47,54,55,48
54,61,62,55
61,68,69,62
68,75,76,69
75,82,83,76
82,89,90,83
89,96,97,90
96,103,104,97
103,110,111,104
110,117,118,111
117,124,125,118
124,131,132,125
131,138,139,132
138,145,146,139
6,13,14,7
13,20,21,14
20,27,28,21
27,34,35,28
34,41,42,35
41,48,49,42
48,55,56,49
55,62,63,56
62,69,70,63
69,76,77,70
76,83,84,77
83,90,91,84
90,97,98,91
97,104,105,98
104,111,112,105
111,118,119,112
118,125,126,119
125,132,133,126
132,139,140,133
139,146,147,140
