node_1,node_2
0,0
0,0.0025
0,0.005
0,0.0075
0,0.01
0,0.0125
0,0.015
0,0.0175
0,0.02
0.005,0
0.005,0.0025
0.005,0.005
0.005,0.0075
0.005,0.01
0.005,0.0125
0.005,0.015
0.005,0.0175
0.005,0.02
0.01,0
0.01,0.0025
0.01,0.005
0.01,0.0075
0.01,0.01
0.01,0.0125
0.01,0.015
0.01,0.0175
0.01,0.02
0.015,0
0.015,0.0025
0.015,0.005
0.015,0.0075
0.015,0.01
0.015,0.0125
0.015,0.015
0.015,0.0175
0.015,0.02
0.02,0
0.02,0.00325
0.02,0.00575
0.02,0.008
0.02,0.01
0.02,0.012
0.02,0.01425
0.02,0.01675
0.02,0.02
0.02125,0.01
0.02141813,0.00829296
0.02141813,0.01170704
0.02151186,0.0064841
0.02151186,0.0135159
0.02163334,0.00440957
0.02163334,0.01559043
0.02211134,0.00211134
0.02211134,0.01788866
0.0225,0.01
0.02264411,0.00853682
0.02264411,0.01146318
0.02272445,0.00698637
0.02272445,0.01301363
0.02314038,0.00541655
0.02314038,0.01458345
0.02325,0
0.02325,0.02
0.02375,0.01
0.02376862,0.00376862
0.02376862,0.01623138
0.02387009,0.00878069
0.02387009,0.01121931
0.0240814,0.00754843
0.0240814,0.01245157
0.02440957,0.00163334
0.02440957,0.01836666
0.02454348,0.00635407
0.02454348,0.01364593
0.025,0.01
0.02509607,0.00902455
0.02509607,0.01097545
0.02524913,0.00524913
0.02524913,0.01475087
0.0253806,0.00808658
0.0253806,0.01191342
0.02541655,0.00314038
0.02541655,0.01685962
0.02575,0
0.02575,0.02
0.02584265,0.00722215
0.02584265,0.01277785
0.02635407,0.00454348
0.02635407,0.01545652
0.02646447,0.00646447
0.02646447,0.01353553
0.0264841,0.00151186
0.0264841,0.01848814
0.02698637,0.00272445
0.02698637,0.01727555
0.02722215,0.00584265
0.02722215,0.01415735
0.02754843,0.0040814
0.02754843,0.0159186
0.028,0
0.028,0.02
0.02808658,0.0053806
0.02808658,0.0146194
0.02829296,0.00141813
0.02829296,0.01858187
0.02853682,0.00264411
0.02853682,0.01735589
0.02878069,0.00387009
0.02878069,0.01612991
0.02902455,0.00509607
0.02902455,0.01490393
0.03,0
0.03,0.00125
0.03,0.0025
0.03,0.00375
0.03,0.005
0.03,0.015
0.03,0.01625
0.03,0.0175
0.03,0.01875
0.03,0.02
0.03097545,0.00509607
0.03097545,0.01490393
0.03121931,0.00387009
0.03121931,0.01612991
0.03146318,0.00264411
0.03146318,0.01735589
0.03170704,0.00141813
0.03170704,0.01858187
0.03191342,0.0053806
0.03191342,0.0146194
0.032,0
0.032,0.02
0.03245157,0.0040814
0.03245157,0.0159186
0.03277785,0.00584265
0.03277785,0.01415735
0.03301363,0.00272445
0.03301363,0.01727555
0.0335159,0.00151186
0.0335159,0.01848814
0.03353553,0.00646447
0.03353553,0.01353553
0.03364593,0.00454348
0.03364593,0.01545652
0.03415735,0.00722215
0.03415735,0.01277785
0.03425,0
0.03425,0.02
0.03458345,0.00314038
0.03458345,0.01685962
0.0346194,0.00808658
0.0346194,0.01191342
0.03475087,0.00524913
0.03475087,0.01475087
0.03490393,0.00902455
0.03490393,0.01097545
0.035,0.01
0.03545652,0.00635407
0.03545652,0.01364593
0.03559043,0.00163334
0.03559043,0.01836666
0.0359186,0.00754843
0.0359186,0.01245157
0.03612991,0.00878069
0.03612991,0.01121931
0.03623138,0.00376862
0.03623138,0.01623138
0.03625,0.01
0.03675,0
0.03675,0.02
0.03685962,0.00541655
0.03685962,0.01458345
0.03727555,0.00698637
0.03727555,0.01301363
0.03735589,0.00853682
0.03735589,0.01146318
0.0375,0.01
0.03788866,0.00211134
0.03788866,0.01788866
0.03836666,0.00440957
0.03836666,0.01559043
0.03848814,0.0064841
0.03848814,0.0135159
0.03858187,0.00829296
0.03858187,0.01170704
0.03875,0.01
0.04,0
0.04,0.00325
0.04,0.00575
0.04,0.008
0.04,0.01
0.04,0.012
0.04,0.01425
0.04,0.01675
0.04,0.02
0.045,0
0.045,0.0025
0.045,0.005
0.045,0.0075
0.045,0.01
0.045,0.0125
0.045,0.015
0.045,0.0175
0.045,0.02
0.05,0
0.05,0.0025
0.05,0.005
0.05,0.0075
0.05,0.01
0.05,0.0125
0.05,0.015
0.05,0.0175
0.05,0.02
0.055,0
0.055,0.0025
0.055,0.005
0.055,0.0075
0.055,0.01
0.055,0.0125
0.055,0.015
0.055,0.0175
0.055,0.02
0.06,0
0.06,0.0025
0.06,0.005
0.06,0.0075
0.06,0.01
0.06,0.0125
0.06,0.015
0.06,0.0175
0.06,0.02
